ticker,signal,conviction,price,alpha,regime,fundamental,technical,asset_type,offense_score
GOOGL,BUY,73.1302579016046,343.69000244140625,-0.0,BULL,"{'PE_Ratio': 26.55337528531688, 'Dividend_Yield': 2.229040652414499}","{'price': np.float64(343.69000244140625), 'sma50': np.float64(322.9510009765625), 'rsi': np.float64(89.56580699465135), 'volatility': np.float64(0.24714289161342096), 'alpha': np.float64(-0.0), 'beta': 1.0}",neutral,50.0
AAPL,BUY,72.32692840539362,270.010009765625,0.0,BULL,"{'PE_Ratio': 28.670951188339437, 'Dividend_Yield': 2.880066081734718}","{'price': np.float64(270.010009765625), 'sma50': np.float64(263.5351989746094), 'rsi': np.float64(92.2435719820213), 'volatility': np.float64(0.2321157873470696), 'alpha': np.float64(0.0), 'beta': 1.0}",neutral,50.0
MSFT,HOLD,52.59987038870456,423.3699951171875,-0.0,BULL,"{'PE_Ratio': 20.286213454134085, 'Dividend_Yield': 1.7996260397074746}","{'price': np.float64(423.3699951171875), 'sma50': np.float64(469.42320068359373), 'rsi': np.float64(35.33290129568188), 'volatility': np.float64(0.194560783856051), 'alpha': np.float64(-0.0), 'beta': 1.0}",neutral,50.0
BAC,HOLD,50.05753710876394,54.029998779296875,0.0,BULL,"{'PE_Ratio': 22.52289990688591, 'Dividend_Yield': 0.6998772631811585}","{'price': np.float64(54.029998779296875), 'sma50': np.float64(54.38959999084473), 'rsi': np.float64(73.14154297078686), 'volatility': np.float64(0.20592861969237672), 'alpha': np.float64(0.0), 'beta': 1.0}",neutral,50.0
PFE,STRONG BUY,76.87393969733449,26.65999984741211,0.0,BULL,"{'PE_Ratio': 15.729010179873463, 'Dividend_Yield': 1.491629818119542}","{'price': np.float64(26.65999984741211), 'sma50': np.float64(25.192571029663085), 'rsi': np.float64(77.08686767555169), 'volatility': np.float64(0.20430929580079868), 'alpha': np.float64(0.0), 'beta': 1.0}",neutral,50.0
ABBV,STRONG BUY,77.13380967622663,225.63999938964844,0.0,BULL,"{'PE_Ratio': 28.20875785328197, 'Dividend_Yield': 1.4776212712524686}","{'price': np.float64(225.63999938964844), 'sma50': np.float64(222.32366516113282), 'rsi': np.float64(76.22063441257788), 'volatility': np.float64(0.2100816159666003), 'alpha': np.float64(0.0), 'beta': 1.0}",neutral,50.0
GS,STRONG BUY,84.49659566900172,946.3300170898438,-0.0,BULL,"{'PE_Ratio': 20.602843321707198, 'Dividend_Yield': 1.87312013039706}","{'price': np.float64(946.3300170898438), 'sma50': np.float64(924.3045983886718), 'rsi': np.float64(51.678014436660895), 'volatility': np.float64(0.24161884074627937), 'alpha': np.float64(-0.0), 'beta': 1.0}",neutral,50.0
MRK,STRONG BUY,80.60537376343056,113.37000274658203,0.0,BULL,"{'PE_Ratio': 28.612218100509708, 'Dividend_Yield': 0.988662679112456}","{'price': np.float64(113.37000274658203), 'sma50': np.float64(107.43179962158203), 'rsi': np.float64(64.64875412189812), 'volatility': np.float64(0.2163538686421886), 'alpha': np.float64(0.0), 'beta': 1.0}",neutral,50.0
MS,STRONG BUY,80.46586716931333,185.10000610351562,0.0,BULL,"{'PE_Ratio': 15.036603669570043, 'Dividend_Yield': 1.3942315173335769}","{'price': np.float64(185.10000610351562), 'sma50': np.float64(181.43966522216797), 'rsi': np.float64(65.11377610228891), 'volatility': np.float64(0.2386789370580502), 'alpha': np.float64(0.0), 'beta': 1.0}",neutral,50.0
JNJ,BUY,71.44815372218271,230.75,0.0,BULL,"{'PE_Ratio': 16.30275088853575, 'Dividend_Yield': 2.247946569189592}","{'price': np.float64(230.75), 'sma50': np.float64(213.59960083007812), 'rsi': np.float64(95.17282092605764), 'volatility': np.float64(0.14710418119452093), 'alpha': np.float64(0.0), 'beta': 1.0}",neutral,35.0
