event,date,regime,buy,sell,hold,avg_conviction,danger_detected
COVID Crash (Pre),2020-02-20,BULL,9,0,1,73.98851810899733,False
COVID Crash (During),2020-03-15,BEAR,1,0,9,45.89705669866947,True
COVID Recovery,2020-04-15,BEAR,8,0,2,71.15842396692197,True
Tech Selloff 2022,2022-11-01,BULL,5,0,5,59.51204473587044,False
Fed Hikes Peak,2022-09-20,NEUTRAL,1,0,9,46.12172456929748,False
SVB Crisis (Pre),2023-03-08,BULL,3,0,7,54.069849830862054,False
SVB Crisis (During),2023-03-13,NEUTRAL,3,0,7,53.63428886888069,False
Flash Crash Aug 2024,2024-08-05,NEUTRAL,3,0,7,51.56750511527413,False
Bull Run 2023,2023-11-15,BULL,9,0,1,72.71823802630021,False
Q4 2023 Rally,2023-12-15,BULL,8,0,2,72.50672159658966,False
